name;rating;convenience;security;functionality;comment 
Бункер 57;3.3;3;3;2;Это здание не имеет особых архитектурных особенностей.
Парк 16;3.7;3;3;5;Это здание является примером функционального дизайна.
Склад 76;3.2;3;3;2;Это здание представляет собой типичный образец современной архитектуры.
Отель 37;4.8;4;1;5;Это великолепное здание!
Мостки 70;2.7;1;5;2;Это здание очень функционально.
Свиноферма 69;1.5;3;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Мануфактура 89;0.2;4;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Путепровод 43;2.7;1;5;2;Мне нравится дизайн этого здания.
Док 30;3.9;1;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Дуплянка 30;3.7;3;4;4;Это здание представляет собой типичный образец современной архитектуры.
Дуплянка 85;3.4;3;5;5;Это здание представляет собой типичный образец современной архитектуры.
Автомойка 6;3.6;3;3;3;Это здание не имеет особых архитектурных особенностей.
Больница 70;0.1;2;1;4;У этого здания отличная архитектура.
Гнездо 28;4.3;1;1;1;Это здание является примером функционального дизайна.
Кафе 90;2.4;5;2;2;Это здание очень функционально.
Кладбище 46;0.7;1;2;2;Это здание построено из стандартных строительных материалов.
Гараж 50;4.9;1;1;4;Это великолепное здание!
Мансарда 25;2.9;4;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Тоннель 40;1.7;3;5;5;Это здание представляет собой типичный образец современной архитектуры.
Утятник 21;4.6;2;3;3;Это здание не имеет особых архитектурных особенностей.
Страусятник 25;0.1;3;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Волчатник 91;3.0;1;3;5;Это здание имеет стандартную конструкцию.
Шале 48;1.0;3;2;5;Это здание построено из стандартных строительных материалов.
Конюшня 60;1.3;5;4;5;Это здание не имеет особых архитектурных особенностей.
Логово 50;0.7;3;1;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Канализация 5;2.9;2;2;4;Это великолепное здание!
Тоннель 40;0.6;1;3;3;Это здание не имеет особых архитектурных особенностей.
Конюшня 60;2.5;4;5;5;Это здание является примером функционального дизайна.
Канализация 71;3.9;3;2;2;Это здание имеет стандартную конструкцию.
Курятник 51;3.8;4;3;5;Это великолепное здание!
Гнездо 84;4.1;2;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Улей 14;2.0;4;5;3;Это здание построено из стандартных строительных материалов.
Кафе 87;3.7;2;3;5;Это здание представляет собой типичный образец современной архитектуры.
Улей 14;4.9;3;4;4;Это здание построено из стандартных строительных материалов.
Курятник 85;2.4;3;1;4;У этого здания отличная архитектура.
Больница 12;1.1;5;5;4;Это здание не имеет особых архитектурных особенностей.
Мостки 47;2.9;2;5;1;Это здание имеет стандартную конструкцию.
Офис 88;4.1;5;4;5;Это здание имеет стандартную конструкцию.
Гусятник 98;4.5;3;2;5;У этого здания отличная архитектура.
Газопровод 16;1.0;1;3;2;Это здание не имеет особых архитектурных особенностей.
Лифт 59;2.1;3;5;1;Это здание имеет стандартную конструкцию.
Церковь 50;2.3;1;3;5;Мне нравится дизайн этого здания.
Свиноферма 8;2.2;5;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Лестница 83;1.1;1;1;5;У этого здания отличная архитектура.
Гнездо 84;0.5;5;2;1;Это здание прекрасно вписывается в окружающий ландшафт.
Кафе 38;4.6;3;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Школа 1;3.3;5;2;3;Это здание не имеет особых архитектурных особенностей.
Петля 100;1.8;2;3;5;Это здание имеет стандартную конструкцию.
Кафе 90;3.8;5;1;3;Это здание имеет стандартную конструкцию.
Стадион 64;2.9;5;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ламарий 79;0.7;2;1;4;Это здание очень функционально.
Дуплянка 19;5.0;2;3;1;Это здание имеет стандартную конструкцию.
Школа 1;0.7;1;3;3;Это здание является примером функционального дизайна.
Офис 88;0.9;3;1;3;Это здание имеет стандартную конструкцию.
Тоннель 30;3.1;1;3;2;Это здание имеет стандартную конструкцию.
Супермаркет 32;4.4;5;3;3;У этого здания отличная архитектура.
Мануфактура 89;4.3;3;5;1;Это здание представляет собой типичный образец современной архитектуры.
Лифт 59;0.2;2;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Школа 1;2.4;1;3;2;Это здание представляет собой типичный образец современной архитектуры.
Дуплянка 30;0.4;3;1;4;Это здание построено из стандартных строительных материалов.
Дуплянка 30;1.0;3;2;5;Это здание имеет стандартную конструкцию.
Эскалатор 93;2.5;2;4;4;У этого здания отличная архитектура.
Парк 55;1.3;2;4;5;Это великолепное здание!
Шале 48;1.8;3;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Автомойка 76;0.4;3;2;5;Это здание является примером функционального дизайна.
Больница 12;3.9;3;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ресторан 74;4.6;3;5;3;Это здание построено из стандартных строительных материалов.
Дуплянка 30;2.9;4;4;2;Это здание является примером функционального дизайна.
Тоннель 30;2.7;3;3;3;Это здание имеет стандартную конструкцию.
Гнездо 28;0.5;4;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Мостки 78;4.6;3;1;3;Это здание не имеет особых архитектурных особенностей.
Петля 100;1.9;4;2;1;Это великолепное здание!
Паутинник 64;3.4;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
Больница 70;3.0;5;3;5;Это великолепное здание!
Мостки 78;4.8;3;4;1;Это здание является примером функционального дизайна.
Логово 50;2.5;2;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Страусятник 25;1.8;4;4;1;Это здание является примером функционального дизайна.
Гусятник 5;1.5;5;5;5;Это здание не имеет особых архитектурных особенностей.
Утятник 22;3.8;1;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Пирс 96;1.2;3;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мануфактура 89;2.9;5;4;5;Это здание является примером функционального дизайна.
Волчатник 91;2.1;1;5;4;Это здание построено из стандартных строительных материалов.
Мостки 47;4.1;5;5;4;Это здание имеет стандартную конструкцию.
Гусятник 5;3.3;5;5;3;У этого здания отличная архитектура.
Дуплянка 63;1.1;2;4;4;Это здание является примером функционального дизайна.
Логово 53;4.7;1;4;1;Это здание представляет собой типичный образец современной архитектуры.
Гараж 50;4.2;4;2;1;Это здание прекрасно вписывается в окружающий ландшафт.
Ферма 7;4.3;5;5;2;Это здание является примером функционального дизайна.
Автомойка 6;3.1;5;2;5;Это великолепное здание!
Курятник 51;0.6;3;4;4;Это здание имеет стандартную конструкцию.
Стадион 64;3.8;4;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Страусятник 25;0.5;4;4;2;Это здание построено из стандартных строительных материалов.
Кафе 38;1.6;1;3;5;Это здание имеет стандартную конструкцию.
Тоннель 30;1.1;2;3;5;Это здание является примером функционального дизайна.
Конюшня 60;0.9;1;2;5;Это здание построено из стандартных строительных материалов.
Гусятник 84;4.8;2;5;5;Это здание очень функционально.
Больница 70;2.4;3;1;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
ТЭЦ 23;3.0;1;2;5;Это здание имеет стандартную конструкцию.
Скворечник 89;0.5;5;4;1;Мне нравится дизайн этого здания.
Сеть 63;4.2;4;5;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Парк 32;0.9;3;3;4;Мне нравится дизайн этого здания.
Гнездо 16;1.9;2;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Курятник 85;1.2;1;1;1;У этого здания отличная архитектура.
Верблюжатник 30;0.5;2;4;1;Это здание построено из стандартных строительных материалов.
Церковь 50;0.2;4;2;3;Это здание имеет стандартную конструкцию.
Свиноферма 69;0.1;4;1;5;Это здание представляет собой типичный образец современной архитектуры.
Курятник 85;5.0;2;2;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Утятник 21;2.7;1;1;2;Это здание построено из стандартных строительных материалов.
Верблюжатник 30;4.7;1;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Паутинник 25;2.8;5;3;1;Это великолепное здание!
Склад 16;4.1;2;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Кладбище 46;3.5;3;4;4;Это здание представляет собой типичный образец современной архитектуры.
Гусятник 50;4.8;2;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Ресторан 42;0.5;1;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Гараж 50;0.3;1;2;2;Это здание очень функционально.
Стадион 64;2.4;4;5;2;Мне нравится дизайн этого здания.
Цирк 63;1.3;1;3;2;Это здание не имеет особых архитектурных особенностей.
Пирс 96;2.7;5;3;2;Это здание построено из стандартных строительных материалов.
Парк 32;2.0;2;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Гусятник 50;2.4;3;4;2;Это здание не имеет особых архитектурных особенностей.
Гнездо 16;2.6;1;4;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Бункер 57;1.2;5;1;3;Это великолепное здание!
Нефтепровод 1;0.1;2;3;1;Это здание имеет стандартную конструкцию.
Скворечник 89;4.4;3;1;2;Это здание является примером функционального дизайна.
Парк 55;1.9;1;3;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Борть 76;3.1;5;2;1;Это здание представляет собой типичный образец современной архитектуры.
Гараж 50;0.4;3;4;1;Это здание очень функционально.
Кафе 87;3.3;2;5;5;Это здание не имеет особых архитектурных особенностей.
Верфь 31;3.2;1;2;5;Это здание является примером функционального дизайна.
Дуплянка 19;1.0;5;4;1;Это здание имеет стандартную конструкцию.
Лифт 59;0.5;5;4;1;Это здание имеет стандартную конструкцию.
Силок 93;1.5;4;5;5;Это здание построено из стандартных строительных материалов.
Институт 47;0.5;1;2;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
ТЭЦ 23;3.5;4;2;1;Это здание очень функционально.
Овчарня 67;1.4;4;4;2;Это здание представляет собой типичный образец современной архитектуры.
Утятник 21;0.1;4;5;5;Это здание построено из стандартных строительных материалов.
Академия 42;1.2;2;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Петля 100;3.7;1;1;1;Это здание очень функционально.
Свиноферма 8;0.9;5;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ресторан 42;1.8;4;1;3;Это здание построено из стандартных строительных материалов.
Ламарий 79;1.9;1;1;3;Это здание является примером функционального дизайна.
Логово 62;1.0;4;1;2;Это здание построено из стандартных строительных материалов.
Тоннель 30;1.1;2;4;3;Это здание построено из стандартных строительных материалов.
Дуплянка 85;3.0;3;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Дуплянка 30;3.5;3;3;4;Это здание имеет стандартную конструкцию.
Больница 70;1.6;4;3;1;Это здание построено из стандартных строительных материалов.
Силок 93;4.9;1;3;2;Это здание является примером функционального дизайна.
Больница 12;2.9;2;1;3;Это здание имеет стандартную конструкцию.
Тоннель 40;5.0;1;5;2;Это здание представляет собой типичный образец современной архитектуры.
Мануфактура 89;1.6;1;4;5;Это здание является примером функционального дизайна.
Автомойка 76;0.3;3;4;5;Это здание имеет стандартную конструкцию.
Ресторан 74;2.6;5;4;4;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 74;3.9;4;1;5;Это здание не имеет особых архитектурных особенностей.
Автомойка 76;4.1;5;4;5;Это здание построено из стандартных строительных материалов.
Улей 94;4.6;1;1;3;Это здание построено из стандартных строительных материалов.
Конюшня 60;2.1;5;3;3;Это здание не имеет особых архитектурных особенностей.
Улей 14;1.5;1;3;1;Это здание построено из стандартных строительных материалов.
Сеть 63;1.6;5;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Кладбище 46;0.9;5;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Верфь 25;2.5;2;4;1;Это здание очень функционально.
Канализация 5;2.4;3;4;3;Это здание имеет стандартную конструкцию.
Парк 55;0.7;4;4;2;Это великолепное здание!
Гнездо 84;0.3;3;4;3;Это здание является примером функционального дизайна.
Эскалатор 93;3.4;2;2;2;Это здание построено из стандартных строительных материалов.
Гараж 50;1.2;5;2;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Волчатник 91;1.5;1;4;5;Это здание представляет собой типичный образец современной архитектуры.
Верфь 25;0.1;4;4;4;Это здание является примером функционального дизайна.
Волчатник 91;2.3;4;5;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Супермаркет 32;3.7;4;2;1;Это здание не имеет особых архитектурных особенностей.
Мостки 47;5.0;4;5;5;Это здание не имеет особых архитектурных особенностей.
Шале 62;3.3;1;1;5;Это здание очень функционально.
Парк 55;2.7;1;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Улей 14;2.1;5;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Склад 76;3.5;2;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Мостки 70;0.2;3;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Институт 47;0.7;2;3;2;Мне нравится дизайн этого здания.
Дуплянка 85;4.2;2;3;3;Это здание не имеет особых архитектурных особенностей.
Курятник 51;4.2;5;3;4;Это здание построено из стандартных строительных материалов.
Волчатник 91;1.8;4;4;3;Это здание построено из стандартных строительных материалов.
Овчарня 67;0.3;3;2;1;Это здание является примером функционального дизайна.
Гнездо 84;0.9;1;2;3;Это здание имеет стандартную конструкцию.
Дуплянка 30;4.2;5;4;3;Это здание не имеет особых архитектурных особенностей.
Гусятник 98;3.2;1;4;1;Это здание является примером функционального дизайна.
Тоннель 40;3.0;3;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Порт 13;2.8;1;4;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Свиноферма 69;0.2;5;4;5;Это здание не имеет особых архитектурных особенностей.
Ресторан 42;0.9;1;5;2;У этого здания отличная архитектура.
Гараж 50;3.4;4;3;4;Это здание имеет стандартную конструкцию.
Офис 88;4.8;1;3;1;Это здание построено из стандартных строительных материалов.
Дуплянка 85;2.5;5;1;4;Это здание построено из стандартных строительных материалов.
Склад 76;5.0;4;4;1;Это здание имеет стандартную конструкцию.
Дуплянка 19;0.4;1;4;2;Это здание прекрасно вписывается в окружающий ландшафт.
Лестница 83;1.3;5;4;3;Это здание является примером функционального дизайна.
Университет 24;4.8;2;4;5;Это здание построено из стандартных строительных материалов.
Улей 94;1.6;4;4;5;Это здание не имеет особых архитектурных особенностей.
Отель 37;5.0;4;2;2;Это здание построено из стандартных строительных материалов.
Ресторан 42;2.3;3;4;5;Это здание прекрасно вписывается в окружающий ландшафт.
Лифт 59;4.3;3;5;3;У этого здания отличная архитектура.
Ресторан 74;5.0;4;5;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Логово 50;0.8;5;1;1;Это здание построено из стандартных строительных материалов.
Гусятник 98;3.6;2;5;2;Это здание построено из стандартных строительных материалов.
Гусятник 5;2.5;2;5;1;Это здание построено из стандартных строительных материалов.
Силок 93;3.9;3;1;3;Это здание не имеет особых архитектурных особенностей.
Замок 46;3.6;3;3;4;У этого здания отличная архитектура.
Цирк 63;0.7;5;1;4;Это здание не имеет особых архитектурных особенностей.
Паутинник 64;0.3;5;2;2;Это здание представляет собой типичный образец современной архитектуры.
Школа 1;3.5;4;5;5;Это здание представляет собой типичный образец современной архитектуры.
Кладбище 46;3.1;1;3;3;Это здание имеет стандартную конструкцию.
Банк 25;4.5;1;3;5;Это здание является примером функционального дизайна.
Гнездо 16;4.3;2;3;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Университет 24;2.1;3;3;3;Это здание построено из стандартных строительных материалов.
Кладбище 46;4.4;1;2;5;Это здание построено из стандартных строительных материалов.
Электростанция 69;0.8;4;4;5;Это здание представляет собой типичный образец современной архитектуры.
Логово 62;2.6;5;2;1;Это здание не имеет особых архитектурных особенностей.
Тоннель 40;2.4;5;2;2;Это здание является примером функционального дизайна.
Электростанция 69;1.3;4;5;4;Это здание очень функционально.
Шале 48;3.9;5;2;2;Это здание построено из стандартных строительных материалов.
Скворечник 89;4.9;5;1;2;Это здание имеет стандартную конструкцию.
Университет 24;4.4;1;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Курятник 85;2.8;4;4;1;Это здание очень функционально.
Улей 14;2.4;5;1;3;Это здание не имеет особых архитектурных особенностей.
Дуплянка 30;4.8;3;1;5;Это здание не имеет особых архитектурных особенностей.
Страусятник 52;4.4;4;5;2;Мне нравится дизайн этого здания.
Шале 62;3.3;1;3;1;Это здание представляет собой типичный образец современной архитектуры.
Дуплянка 19;3.7;1;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Логово 50;2.4;4;1;1;Это здание представляет собой типичный образец современной архитектуры.
Университет 24;4.5;5;4;3;Это здание имеет стандартную конструкцию.
Кладбище 46;4.2;4;5;5;Это здание очень функционально.
Свиноферма 69;0.5;3;4;1;Это здание прекрасно вписывается в окружающий ландшафт.
Тоннель 40;4.4;5;5;3;Это здание построено из стандартных строительных материалов.
Логово 50;2.7;1;5;2;Это здание представляет собой типичный образец современной архитектуры.
Логово 62;4.6;1;2;4;Это великолепное здание!
Курятник 51;1.3;1;1;1;Это здание прекрасно вписывается в окружающий ландшафт.
Лестница 83;2.3;4;1;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Курятник 51;4.0;3;5;4;Это здание является примером функционального дизайна.
Утятник 22;4.3;4;5;2;Это здание представляет собой типичный образец современной архитектуры.
Парк 55;2.6;4;5;3;Это здание имеет стандартную конструкцию.
Тоннель 40;0.2;1;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Мостки 70;5.0;5;3;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Парк 16;1.4;1;2;5;Это здание имеет стандартную конструкцию.
Эскалатор 93;0.8;4;3;5;Это здание является примером функционального дизайна.
Парк 16;3.2;2;1;5;Это здание не имеет особых архитектурных особенностей.
Док 30;3.2;5;3;3;Это здание прекрасно вписывается в окружающий ландшафт.
Автомойка 76;0.7;1;3;5;Это здание представляет собой типичный образец современной архитектуры.
Свиноферма 8;3.5;4;3;3;Это здание имеет стандартную конструкцию.
Парк 55;2.5;2;3;3;Это здание является примером функционального дизайна.
Логово 62;3.5;5;3;2;Это здание представляет собой типичный образец современной архитектуры.
Эскалатор 37;4.5;2;3;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Гусятник 84;1.8;3;3;3;Это здание является примером функционального дизайна.
Док 30;1.2;3;2;4;Это здание является примером функционального дизайна.
Шале 62;2.1;2;4;5;Это здание построено из стандартных строительных материалов.
Док 30;2.1;4;4;4;У этого здания отличная архитектура.
Институт 47;2.6;5;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Академия 42;2.0;2;5;5;Это здание представляет собой типичный образец современной архитектуры.
Замок 46;4.7;1;4;4;Это здание не имеет особых архитектурных особенностей.
Логово 50;4.1;4;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Путепровод 43;4.4;1;4;5;Это здание является примером функционального дизайна.
Гусятник 7;0.9;1;4;1;Это здание представляет собой типичный образец современной архитектуры.
Шале 48;3.8;3;3;4;Это здание представляет собой типичный образец современной архитектуры.
Мостки 47;3.6;1;4;2;Это здание не имеет особых архитектурных особенностей.
Логово 62;2.8;4;2;3;Это здание очень функционально.
Мансарда 25;4.8;5;4;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Порт 13;5.0;1;5;3;Это великолепное здание!
Мансарда 25;3.3;1;2;2;Это здание имеет стандартную конструкцию.
Лифт 59;0.9;1;1;5;Это здание не имеет особых архитектурных особенностей.
Отель 37;3.7;2;3;1;Мне нравится дизайн этого здания.
Ламарий 79;1.6;2;4;1;Это здание представляет собой типичный образец современной архитектуры.
Свиноферма 8;1.9;2;5;4;Мне нравится дизайн этого здания.
Эскалатор 37;0.1;1;4;1;Это здание является примером функционального дизайна.
Сеть 63;1.9;1;3;1;Это здание является примером функционального дизайна.
Борть 76;1.2;3;3;4;Это здание построено из стандартных строительных материалов.
Тоннель 30;4.6;2;4;2;Мне нравится дизайн этого здания.
Мостки 47;2.0;3;3;1;У этого здания отличная архитектура.
Автомойка 6;1.5;1;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Скворечник 89;3.8;5;1;1;Это здание представляет собой типичный образец современной архитектуры.
Скворечник 89;2.1;1;3;2;Это великолепное здание!
Утятник 21;4.9;5;3;1;Это здание прекрасно вписывается в окружающий ландшафт.
Стадион 64;3.1;4;2;2;Это здание представляет собой типичный образец современной архитектуры.
Силок 93;0.3;5;1;2;Это здание имеет стандартную конструкцию.
Канализация 71;4.0;2;1;3;У этого здания отличная архитектура.
Логово 62;0.1;5;5;1;У этого здания отличная архитектура.
Лифт 59;1.7;2;4;4;Это здание представляет собой типичный образец современной архитектуры.
Утятник 21;4.5;4;1;5;Это здание имеет стандартную конструкцию.
Автомойка 76;1.7;1;5;3;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 40;2.6;1;3;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Электростанция 69;0.9;4;3;1;Это великолепное здание!
Мостки 70;0.8;4;1;3;Мне нравится дизайн этого здания.
Улей 94;2.1;3;3;3;Это здание очень функционально.
Дуплянка 30;4.8;1;5;2;Это здание является примером функционального дизайна.
Страусятник 25;1.6;5;2;3;Это здание имеет стандартную конструкцию.
Страусятник 52;4.8;3;1;5;Это здание прекрасно вписывается в окружающий ландшафт.
Институт 47;3.1;3;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Страусятник 52;4.4;3;5;3;Мне нравится дизайн этого здания.
Кафе 38;2.3;3;1;3;Это здание построено из стандартных строительных материалов.
Парк 32;0.5;2;2;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Мостки 70;4.7;2;4;4;Это здание представляет собой типичный образец современной архитектуры.
Ламарий 79;1.6;3;1;5;Мне нравится дизайн этого здания.
Ангар 18;0.3;1;1;2;Это здание имеет стандартную конструкцию.
Гусятник 7;2.9;4;3;5;Это здание представляет собой типичный образец современной архитектуры.
Лестница 83;0.7;5;3;2;Это здание прекрасно вписывается в окружающий ландшафт.
Парк 16;1.7;2;1;1;Это здание имеет стандартную конструкцию.
Автомойка 76;1.2;2;4;3;Это великолепное здание!
Волчатник 89;0.1;4;4;3;Это здание представляет собой типичный образец современной архитектуры.
Пандус 35;2.8;5;2;3;Это здание является примером функционального дизайна.
Электростанция 69;0.1;5;1;2;У этого здания отличная архитектура.
Эскалатор 37;4.4;1;4;4;Это здание очень функционально.
Университет 24;0.7;4;3;2;Это здание построено из стандартных строительных материалов.
Эскалатор 93;3.1;4;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Парк 16;0.6;1;1;5;Это здание очень функционально.
Ферма 7;3.0;4;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Автомойка 76;2.8;1;3;1;Это здание имеет стандартную конструкцию.
ТЭЦ 23;2.2;2;4;5;Это здание является примером функционального дизайна.
Кошара 38;2.8;1;5;4;Это здание построено из стандартных строительных материалов.
Парк 55;2.7;2;2;5;У этого здания отличная архитектура.
Мансарда 25;4.9;2;1;3;Мне нравится дизайн этого здания.
Академия 42;3.2;2;4;1;У этого здания отличная архитектура.
Ангар 18;4.6;1;5;4;Мне нравится дизайн этого здания.
Гнездо 28;4.5;4;3;5;Это здание имеет стандартную конструкцию.
Университет 24;3.4;2;2;2;Это здание представляет собой типичный образец современной архитектуры.
Гнездо 28;4.4;5;1;2;Это здание имеет стандартную конструкцию.
Шале 48;2.3;2;5;4;Мне нравится дизайн этого здания.
Склад 76;0.4;3;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Сеть 63;2.7;2;2;4;Это здание имеет стандартную конструкцию.
Стадион 64;5.0;4;3;4;Это здание имеет стандартную конструкцию.
Эскалатор 93;0.4;5;2;3;Это здание построено из стандартных строительных материалов.
Цирк 63;0.6;2;4;5;Это здание очень функционально.
Мануфактура 89;0.7;5;4;4;Это здание прекрасно вписывается в окружающий ландшафт.
Овчарня 67;2.9;2;1;3;Мне нравится дизайн этого здания.
Улей 14;3.6;1;1;3;Это здание не имеет особых архитектурных особенностей.
Петля 100;0.7;5;4;5;Это здание является примером функционального дизайна.
Тоннель 40;1.5;2;1;4;У этого здания отличная архитектура.
